entryid,childDownloadUrl,parentDownloadUrl,name,result
1_n40uw19p,https://cdnapisec.kaltura.com/p/1756241/sp/175624100/playManifest/entryId/1_lin85541/format/download/protocol/https/flavorParamIds/0,https://cdnapisec.kaltura.com/p/1756241/sp/175624100/playManifest/entryId/1_n40uw19p/format/download/protocol/https/flavorParamIds/0,WR1_Til_deKeijzer,OK
1_bolm7d87,https://cdnapisec.kaltura.com/p/1756241/sp/175624100/playManifest/entryId/1_py8h0i6c/format/download/protocol/https/flavorParamIds/0,https://cdnapisec.kaltura.com/p/1756241/sp/175624100/playManifest/entryId/1_bolm7d87/format/download/protocol/https/flavorParamIds/0,WR_MerveErbas1:47:19 pm,OK
1_ks11di7x,https://cdnapisec.kaltura.com/p/1756241/sp/175624100/playManifest/entryId/1_lrkbcqip/format/download/protocol/https/flavorParamIds/0,https://cdnapisec.kaltura.com/p/1756241/sp/175624100/playManifest/entryId/1_ks11di7x/format/download/protocol/https/flavorParamIds/0,WR1_Marina_Russo,OK
1_t1va5ilf,https://cdnapisec.kaltura.com/p/1756241/sp/175624100/playManifest/entryId/1_9x8hcyv0/format/download/protocol/https/flavorParamIds/0,https://cdnapisec.kaltura.com/p/1756241/sp/175624100/playManifest/entryId/1_t1va5ilf/format/download/protocol/https/flavorParamIds/0,WR1-Prüfung_Christopher_Linde,OK
1_p8mwoddu,https://cdnapisec.kaltura.com/p/1756241/sp/175624100/playManifest/entryId/1_ro61zrv2/format/download/protocol/https/flavorParamIds/0,https://cdnapisec.kaltura.com/p/1756241/sp/175624100/playManifest/entryId/1_p8mwoddu/format/download/protocol/https/flavorParamIds/0,WR1_SEMA_DAG,OK
1_alyl7nye,https://cdnapisec.kaltura.com/p/1756241/sp/175624100/playManifest/entryId/1_oa6394vm/format/download/protocol/https/flavorParamIds/0,https://cdnapisec.kaltura.com/p/1756241/sp/175624100/playManifest/entryId/1_alyl7nye/format/download/protocol/https/flavorParamIds/0,"WR Danijela_Pesikan - Januar 23. 2021, 1:38:15 pm",OK
1_dbdww1vs,https://cdnapisec.kaltura.com/p/1756241/sp/175624100/playManifest/entryId/1_s6qj9ure/format/download/protocol/https/flavorParamIds/0,https://cdnapisec.kaltura.com/p/1756241/sp/175624100/playManifest/entryId/1_dbdww1vs/format/download/protocol/https/flavorParamIds/0,WR1-Kefallonitu_Irini_Evelina,OK
1_m0jrdrxl,https://cdnapisec.kaltura.com/p/1756241/sp/175624100/playManifest/entryId/1_w28z7041/format/download/protocol/https/flavorParamIds/0,https://cdnapisec.kaltura.com/p/1756241/sp/175624100/playManifest/entryId/1_m0jrdrxl/format/download/protocol/https/flavorParamIds/0,WR1_ Sheena_Ettlin,OK
1_ickvjzw4,https://cdnapisec.kaltura.com/p/1756241/sp/175624100/playManifest/entryId/1_epv5jq3t/format/download/protocol/https/flavorParamIds/0,https://cdnapisec.kaltura.com/p/1756241/sp/175624100/playManifest/entryId/1_ickvjzw4/format/download/protocol/https/flavorParamIds/0,"Kaltura Capture recording - Januar 23. 2021, 1:43:13 pm",OK
1_ftub5ckb,https://cdnapisec.kaltura.com/p/1756241/sp/175624100/playManifest/entryId/1_zpzyy75o/format/download/protocol/https/flavorParamIds/0,https://cdnapisec.kaltura.com/p/1756241/sp/175624100/playManifest/entryId/1_ftub5ckb/format/download/protocol/https/flavorParamIds/0,WR1_Samira_Schmid,OK
1_07ig7kbt,https://cdnapisec.kaltura.com/p/1756241/sp/175624100/playManifest/entryId/1_vhv19ut6/format/download/protocol/https/flavorParamIds/0,https://cdnapisec.kaltura.com/p/1756241/sp/175624100/playManifest/entryId/1_07ig7kbt/format/download/protocol/https/flavorParamIds/0,WR1_Dany_Brand,OK
